work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size,company_location,employee_residence
2020,SE,FT,Data Science Manager,190200,USD,190200,100,M,United States,United States
2020,SE,FT,Data Scientist,412000,USD,412000,100,L,United States,United States
2020,MI,FT,Data Engineer,110000,USD,110000,100,L,United States,United States
2022,SE,FT,Data Analyst,90320,USD,90320,100,M,United States,United States
2021,SE,FT,ML Engineer,256000,USD,256000,100,S,United States,United States
2021,SE,FT,Data Analyst,200000,USD,200000,100,L,United States,United States
2022,SE,FT,Data Analyst,135000,USD,135000,100,M,United States,United States
2022,SE,FT,Data Engineer,113000,USD,113000,0,L,United States,United States
2022,SE,FT,Data Scientist,95550,USD,95550,0,M,United States,United States
2022,SE,FT,Data Engineer,108800,USD,108800,0,M,United States,United States
2022,SE,FT,Data Engineer,156600,USD,156600,100,M,United States,United States
2022,EX,FT,Analytics Engineer,175000,USD,175000,100,M,United States,United States
2022,EX,FT,Head of Data Science,167875,USD,167875,100,M,United States,United States
2022,EX,FT,Head of Data Science,224000,USD,224000,100,M,United States,United States
2022,SE,FT,Data Engineer,93700,USD,93700,100,M,United States,United States
2022,SE,FT,Data Engineer,128875,USD,128875,100,M,United States,United States
2022,SE,FT,Data Science Manager,161342,USD,161342,100,M,United States,United States
2022,SE,FT,Data Analyst,109280,USD,109280,100,M,United States,United States
2022,SE,FT,Data Engineer,243900,USD,243900,100,M,United States,United States
2022,MI,FT,Data Analyst,167000,USD,167000,100,M,United States,United States
2022,SE,FT,Data Engineer,132320,USD,132320,100,M,United States,United States
2022,SE,FT,Data Engineer,165400,USD,165400,100,M,United States,United States
2022,SE,FT,Data Analyst,90320,USD,90320,100,M,United States,United States
2022,SE,FT,Data Analyst,112900,USD,112900,100,M,United States,United States
2022,SE,FT,Data Analyst,90320,USD,90320,100,M,United States,United States
2022,SE,FT,Data Analyst,112900,USD,112900,100,M,United States,United States
2022,MI,FT,Data Analyst,115500,USD,115500,100,M,United States,United States
2022,SE,FT,Data Analyst,170000,USD,170000,100,M,United States,United States
2022,SE,FT,Data Analyst,136600,USD,136600,100,M,United States,United States
2022,SE,FT,Data Science Manager,137141,USD,137141,100,M,United States,United States
2022,SE,FT,Data Scientist,167000,USD,167000,100,M,United States,United States
2022,SE,FT,Data Scientist,123000,USD,123000,100,M,United States,United States
2022,MI,FT,AI Scientist,120000,USD,120000,0,M,United States,United States
2022,SE,FT,Data Engineer,155000,USD,155000,100,M,United States,United States
2022,SE,FT,Data Analyst,164000,USD,164000,0,M,United States,United States
2022,SE,FT,Data Engineer,132320,USD,132320,100,M,United States,United States
2022,SE,FT,Data Analyst,93700,USD,93700,100,M,United States,United States
2022,SE,FT,Data Analyst,128875,USD,128875,100,M,United States,United States
2022,SE,FT,Data Engineer,101570,USD,101570,100,M,United States,United States
2022,SE,FT,Data Engineer,136994,USD,136994,100,M,United States,United States
2022,SE,FT,Data Architect,147800,USD,147800,100,M,United States,United States
2022,SE,FT,Data Architect,208775,USD,208775,100,M,United States,United States
2022,SE,FT,Data Engineer,165400,USD,165400,100,M,United States,United States
2022,SE,FT,Data Analyst,132000,USD,132000,0,M,United States,United States
2022,SE,FT,Machine Learning Engineer,164996,USD,164996,0,M,United States,United States
2022,SE,FT,Machine Learning Engineer,189650,USD,189650,0,M,United States,United States
2022,SE,FT,Data Scientist,123000,USD,123000,100,M,United States,United States
2022,SE,FT,Data Scientist,170000,USD,170000,100,M,United States,United States
2022,EX,FT,Analytics Engineer,135000,USD,135000,100,M,United States,United States
2022,MI,FT,Data Analyst,58000,USD,58000,0,S,United States,United States
2022,SE,FT,Data Engineer,136000,USD,136000,0,M,United States,United States
2022,SE,FT,Data Scientist,138600,USD,138600,100,M,United States,United States
2022,SE,FT,Data Engineer,160000,USD,160000,0,L,United States,United States
2022,SE,FT,Data Scientist,211500,USD,211500,100,M,United States,United States
2022,SE,FT,Data Scientist,150000,USD,150000,0,M,United States,United States
2022,EX,FT,Data Analyst,110000,USD,110000,100,M,United States,United States
2022,EX,FT,Data Analyst,130000,USD,130000,100,M,United States,United States
2022,SE,FT,Data Analyst,124190,USD,124190,100,M,United States,United States
2022,SE,FT,Data Scientist,120000,USD,120000,0,L,United States,United States
2021,MI,FT,Data Scientist,109000,USD,109000,50,L,United States,United States
2021,SE,CT,Staff Data Scientist,105000,USD,105000,100,M,United States,United States
2021,MI,FT,Data Engineer,112000,USD,112000,100,L,United States,United States
2021,EN,FT,Data Scientist,58000,USD,58000,50,L,United States,United States
2021,EN,FT,Data Scientist,100000,USD,100000,100,M,United States,United States
2021,EN,FT,Data Engineer,72500,USD,72500,100,L,United States,United States
2021,MI,FT,Data Engineer,111775,USD,111775,0,M,United States,United States
2021,MI,FT,Data Engineer,93150,USD,93150,0,M,United States,United States
2021,MI,FT,Data Scientist,130000,USD,130000,50,L,United States,United States
2022,SE,FT,Data Engineer,135000,USD,135000,100,M,United States,United States
2021,SE,FT,Machine Learning Engineer,185000,USD,185000,50,L,United States,United States
2021,MI,FT,Data Analyst,93000,USD,93000,100,L,United States,United States
2021,EX,FT,Principal Data Engineer,600000,USD,600000,100,L,United States,United States
2021,EN,FT,Data Scientist,90000,USD,90000,100,S,United States,United States
2021,MI,FT,Data Scientist,115000,USD,115000,50,L,United States,United States
2021,SE,FT,Principal Data Analyst,170000,USD,170000,100,M,United States,United States
2021,SE,FT,Data Scientist,165000,USD,165000,100,L,United States,United States
2021,MI,FT,Data Engineer,110000,USD,110000,100,L,United States,United States
2021,MI,FT,Data Analyst,80000,USD,80000,100,L,United States,United States
2021,MI,FT,Head of Data Science,110000,USD,110000,0,S,United States,United States
2021,MI,FT,Data Architect,180000,USD,180000,100,L,United States,United States
2021,MI,FT,Data Engineer,200000,USD,200000,100,L,United States,United States
2021,SE,FT,Director of Data Engineering,200000,USD,200000,100,L,United States,United States
2022,SE,FT,Data Analyst,155000,USD,155000,100,M,United States,United States
2022,MI,FT,Data Scientist,130000,USD,130000,0,M,United States,United States
2022,SE,FT,Data Scientist,180000,USD,180000,0,L,United States,United States
2022,SE,FT,Data Engineer,160080,USD,160080,0,M,United States,United States
2022,SE,FT,Data Engineer,220110,USD,220110,0,M,United States,United States
2022,SE,FT,Data Engineer,132320,USD,132320,0,M,United States,United States
2022,SE,FT,Data Engineer,181940,USD,181940,0,M,United States,United States
2022,SE,FT,Data Analyst,90320,USD,90320,100,M,United States,United States
2022,SE,FT,Data Scientist,120160,USD,120160,100,M,United States,United States
2022,SE,FT,Data Scientist,165220,USD,165220,100,M,United States,United States
2022,EX,FT,Data Engineer,200000,USD,200000,100,M,United States,United States
2022,EX,FT,Data Engineer,242000,USD,242000,100,M,United States,United States
2022,SE,FT,Data Analyst,120600,USD,120600,100,M,United States,United States
2022,MI,FT,Data Analyst,126500,USD,126500,0,M,United States,United States
2022,SE,FT,Data Analyst,116000,USD,116000,0,M,United States,United States
2022,SE,FT,Data Analyst,99000,USD,99000,0,M,United States,United States
2022,SE,FT,Data Analyst,150000,USD,150000,100,M,United States,United States
2022,SE,FT,Data Scientist,146000,USD,146000,100,M,United States,United States
2022,SE,FT,Data Scientist,99360,USD,99360,100,M,United States,United States
2022,SE,FT,Data Scientist,136620,USD,136620,100,M,United States,United States
2022,SE,FT,Data Analyst,84900,USD,84900,100,M,United States,United States
2022,SE,FT,Data Analyst,102100,USD,102100,100,M,United States,United States
2022,MI,FT,Data Engineer,150000,USD,150000,100,M,United States,United States
2022,MI,FT,Data Engineer,170000,USD,170000,100,M,United States,United States
2022,MI,FT,Data Scientist,90000,USD,90000,0,M,United States,United States
2022,MI,FT,Data Analyst,106260,USD,106260,0,M,United States,United States
2022,MI,FT,Data Scientist,115000,CHF,122346,0,L,Switzerland,Switzerland
2021,MI,FT,Data Scientist,30400000,CLP,40038,100,L,Chile,Chile
2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,0,M,China,China
2021,EN,FT,Research Scientist,100000,USD,100000,0,L,China,Jersey
2021,EN,FT,Machine Learning Engineer,21844,USD,21844,50,M,Colombia,Colombia
2022,EN,CT,Applied Machine Learning Scientist,29000,EUR,31875,100,M,Czech Republic,Tunisia
2021,MI,FT,Research Scientist,69999,USD,69999,50,L,Czech Republic,Czech Republic
2021,MI,FT,Data Scientist,21600,EUR,25532,100,S,Germany,Serbia
2022,EN,FT,Data Engineer,52800,EUR,58035,100,M,Germany,Pakistan
2020,EN,FT,Data Engineer,48000,EUR,54742,100,L,Germany,Pakistan
2022,EN,FT,Data Analytics Engineer,20000,USD,20000,0,M,Pakistan,Pakistan
2020,MI,FT,Data Analyst,8000,USD,8000,50,L,Pakistan,Pakistan
2021,MI,FL,Machine Learning Scientist,12000,USD,12000,50,M,Pakistan,Pakistan
2021,EN,PT,AI Scientist,12000,USD,12000,100,M,United States,Pakistan
2021,EN,FT,Machine Learning Engineer,85000,USD,85000,100,S,Germany,Netherlands
2021,MI,PT,Data Engineer,59000,EUR,69741,100,L,Netherlands,Netherlands
2020,EN,FT,Research Scientist,42000,USD,42000,50,L,Netherlands,Netherlands
2022,SE,FT,Machine Learning Engineer,57000,EUR,62651,100,L,Netherlands,Netherlands
2021,MI,FT,Data Engineer,38400,EUR,45391,100,L,Netherlands,Netherlands
2022,MI,FT,Machine Learning Engineer,80000,EUR,87932,100,M,Germany,France
2021,EX,FT,Data Science Consultant,59000,EUR,69741,100,S,Spain,France
2021,SE,FT,Data Scientist,45000,EUR,53192,50,L,France,France
2021,SE,FT,Data Scientist,65720,EUR,77684,50,M,France,France
2021,EN,FT,Data Scientist,31000,EUR,36643,50,L,France,France
2021,EN,FT,Data Analyst,50000,EUR,59102,50,M,France,France
2020,MI,FT,Data Analyst,41000,EUR,46759,50,L,France,France
2021,MI,FT,Research Scientist,53000,EUR,62649,50,M,France,France
2020,EN,FT,Data Scientist,35000,EUR,39916,0,M,France,France
2021,EN,FT,Data Scientist,42000,EUR,49646,50,M,France,France
2021,MI,FT,Research Scientist,48000,EUR,56738,50,S,France,France
2022,SE,FT,Research Scientist,85000,EUR,93427,50,L,France,France
2020,MI,FT,Data Engineer,61500,EUR,70139,50,L,France,France
2022,MI,FT,Data Engineer,62000,EUR,68147,100,M,France,France
2020,MI,FT,Data Scientist,37000,EUR,42197,50,S,France,France
2020,EN,FT,Data Scientist,45000,EUR,51321,0,S,France,France
2020,MI,FT,Data Scientist,55000,EUR,62726,50,S,Luxembourg,France
2021,SE,FT,Research Scientist,50000,USD,50000,100,S,United States,France
2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,100,L,Denmark,Greece
2022,MI,FT,ETL Developer,50000,EUR,54957,0,M,Greece,Greece
2022,MI,FT,ETL Developer,50000,EUR,54957,0,M,Greece,Greece
2022,MI,FT,Data Analyst,20000,USD,20000,100,S,Greece,Greece
2020,SE,FT,Data Engineer,42000,EUR,47899,50,L,Greece,Greece
2022,MI,FT,Data Engineer,60000,EUR,65949,100,M,Greece,Greece
2022,MI,FT,Data Analyst,30000,EUR,32974,100,M,Greece,Greece
2022,MI,FT,Data Engineer,45000,EUR,49461,100,M,Greece,Greece
2022,MI,FT,Data Analyst,40000,EUR,43966,100,M,Greece,Greece
2021,MI,FT,Data Science Engineer,34000,EUR,40189,100,M,Greece,Greece
2022,MI,FT,Data Engineer,70000,EUR,76940,100,M,Greece,Greece
2022,MI,FT,Data Engineer,80000,EUR,87932,100,M,Greece,Greece
2020,SE,FT,Data Scientist,60000,EUR,68428,100,L,United States,Greece
2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,50,S,Denmark,Denmark
2020,EN,FT,AI Scientist,300000,DKK,45896,50,S,Denmark,Denmark
2022,EN,PT,Data Scientist,100000,USD,100000,50,M,Algeria,Algeria
2022,MI,FT,Head of Data,30000,EUR,32974,100,S,Estonia,Estonia
2021,MI,FT,Data Scientist,32000,EUR,37825,100,L,Spain,Spain
2020,MI,FT,Data Scientist,34000,EUR,38776,100,M,Spain,Spain
2022,MI,FT,Data Engineer,45000,EUR,49461,100,M,Spain,Spain
2022,MI,FT,Data Analyst,40000,EUR,43966,100,M,Spain,Spain
2021,EN,PT,Data Analyst,8760,EUR,10354,50,M,Spain,Spain
2022,MI,FT,Data Analyst,30000,EUR,32974,100,M,Spain,Spain
2022,MI,FT,Data Engineer,80000,EUR,87932,100,M,Spain,Spain
2021,SE,FT,AI Scientist,55000,USD,55000,100,L,Spain,Spain
2020,EX,FT,Data Engineering Manager,70000,EUR,79833,50,L,Spain,Spain
2022,MI,FT,Data Engineer,70000,EUR,76940,100,M,Spain,Spain
2021,MI,FT,Data Scientist,39600,EUR,46809,100,M,Spain,Spain
2022,MI,FT,Data Engineer,60000,EUR,65949,100,M,Spain,Spain
2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,100,S,Spain,Spain
2021,MI,FT,Big Data Engineer,60000,USD,60000,50,M,Romania,Spain
2020,MI,FT,Data Engineer,130800,USD,130800,100,M,United States,Spain
2020,SE,FT,Big Data Engineer,100000,EUR,114047,100,S,United Kingdom,Poland
2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,100,L,Poland,Poland
2021,MI,FT,Data Engineer,110000,PLN,28476,100,L,Poland,Poland
2022,MI,FT,Data Scientist,150000,PLN,35590,100,L,Poland,Poland
2021,SE,FT,Data Engineer,65000,EUR,76833,50,S,United Kingdom,Romania
2021,MI,FT,Data Engineer,22000,EUR,26005,0,L,United States,Romania
2021,SE,FT,Data Analytics Engineer,50000,USD,50000,100,M,United Kingdom,Vietnam
2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,100,M,United States,Vietnam
2021,EN,FT,Data Scientist,4000,USD,4000,0,M,Vietnam,Vietnam
2021,MI,FT,Data Engineer,48000,GBP,66022,50,S,United Kingdom,Hong Kong
2020,MI,FT,Product Data Analyst,20000,USD,20000,0,S,Honduras,Honduras
2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,100,S,Croatia,Croatia
2020,MI,FT,Data Scientist,11000000,HUF,35735,50,L,Hungary,Hungary
2021,MI,FT,BI Data Analyst,11000000,HUF,36259,50,L,United States,Hungary
2022,SE,FT,Machine Learning Engineer,65000,EUR,71444,100,S,Ireland,Ireland
2021,MI,FT,Data Scientist,160000,SGD,119059,100,M,Israel,Singapore
2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,50,L,Singapore,Singapore
2021,EN,FT,Machine Learning Developer,100000,USD,100000,50,S,Iraq,Iraq
2021,MI,FT,Data Engineer,4000,USD,4000,100,M,Iran,Iran
2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,50,L,Italy,Italy
2020,EN,PT,Data Scientist,19000,EUR,21669,50,S,Italy,Italy
2021,EX,FT,Director of Data Science,130000,EUR,153667,100,L,Poland,Italy
2021,MI,FL,Data Engineer,20000,USD,20000,0,L,United States,Italy
2021,MI,FT,Machine Learning Engineer,74000,USD,74000,50,S,Japan,Japan
2021,MI,FT,ML Engineer,7000000,JPY,63711,50,S,Japan,Japan
2021,MI,FT,ML Engineer,8500000,JPY,77364,50,S,Japan,Japan
2020,SE,FT,Machine Learning Scientist,260000,USD,260000,0,S,Japan,Japan
2021,SE,FT,Director of Data Science,168000,USD,168000,0,S,Japan,Japan
2020,EN,FT,Data Engineer,4450000,JPY,41689,100,S,Japan,Japan
2022,EN,FT,Data Scientist,40000,USD,40000,100,L,Malaysia,Japan
2021,EN,FT,BI Data Analyst,9272,USD,9272,100,S,Kenya,Kenya
2021,EN,FT,Business Data Analyst,50000,EUR,59102,100,L,Luxembourg,Luxembourg
2022,EN,FT,Computer Vision Engineer,10000,USD,10000,100,M,Luxembourg,Portugal
2021,SE,FT,Research Scientist,51400,EUR,60757,50,L,Portugal,Portugal
2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,58255,50,L,Portugal,Portugal
2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,0,M,Portugal,Portugal
2022,EN,FT,ML Engineer,20000,EUR,21983,100,L,Portugal,Portugal
2020,MI,FT,Lead Data Engineer,56000,USD,56000,100,M,United States,Portugal
2021,MI,FT,Big Data Engineer,18000,USD,18000,0,S,Moldova,Moldova
2021,MI,FT,Data Engineer,24000,EUR,28369,50,L,Malta,Malta
2022,SE,FT,Data Science Engineer,60000,USD,60000,100,L,Mexico,Argentina
2020,SE,FT,Data Engineer,720000,MXN,33511,0,S,Mexico,Mexico
2021,MI,FT,Data Scientist,58000,MXN,2859,0,S,Mexico,Mexico
2021,MI,FT,Data Scientist,50000,USD,50000,100,L,Nigeria,Nigeria
2020,EN,FT,Data Analyst,10000,USD,10000,100,S,Nigeria,Nigeria
2020,SE,FT,Lead Data Engineer,125000,USD,125000,50,S,New Zealand,New Zealand
2021,EX,FT,Head of Data Science,85000,USD,85000,0,M,Russia,Russia
2021,EX,FT,Head of Data,230000,USD,230000,50,L,Russia,Russia
2022,MI,FT,Data Scientist,48000,USD,48000,100,S,United States,Russia
2020,SE,FL,Computer Vision Engineer,60000,USD,60000,100,S,United States,Russia
2021,SE,FT,Head of Data,87000,EUR,102839,100,L,Slovenia,Slovenia
2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,50,L,Slovenia,Slovenia
2021,MI,FT,Data Engineer,250000,TRY,28016,100,M,Turkey,Turkey
2021,MI,FT,Data Engineer,108000,TRY,12103,0,M,Turkey,Turkey
2021,SE,FT,Data Scientist,180000,TRY,20171,50,L,Turkey,Turkey
2021,EN,FT,Data Scientist,13400,USD,13400,100,L,Ukraine,Ukraine
2022,MI,FT,Applied Machine Learning Scientist,75000,USD,75000,100,L,United States,Bolivia
2022,SE,FT,Head of Data,200000,USD,200000,100,M,United States,Malaysia
2020,MI,FT,Data Scientist,45760,USD,45760,100,S,United States,Philippines
2021,SE,FT,Data Analyst,80000,USD,80000,100,S,United States,Bulgaria
2021,SE,FT,Lead Data Engineer,160000,USD,160000,50,S,United States,Puerto Rico
